Jam ID,Jam Link,Jam Title,Joined Count,Dollar Sentences
328097,https://itch.io/jam/goedware-game-jam-8,GoedWare Game Jam #8 (+ prizes ð),150,"The overall winner will receive a $125 gift card!* + Eternal Glory of winning the Game Jamð! EXTRA PRIZE FOR THE OVERALL WINNER: Introducing our extra sponsor, PixelVibe by Rosebud AI! | The runner-up will get a $25 gift card. | The winner in this category will receive a $35 gift card. | The winner in this category will receive a $25 gift card. | The winner in this category will receive a $25 gift card. | The winner in this category will receive a $25 gift card. | The most insightful, informative & educational Devlog will be sent a gift link they can use to pick up all 25  Zenva e-learning courses to learn to code and make games OR a $25 gift card. * The Devlog category will be manually ranked by the Jury and not the participants and will count towards your overall score. It is required part of the Jam if you want a chance to win the prizes. | #1:  The winner will get a $175 gift card!! | #2:  The runner-up will get a $50 gift card. | #3:  Third place will get a $25 gift card. | #Graphics:  
The winner in this category will receive a $30 gift card. | #Audio: 
The winner in this category will receive a $30 gift card."
330068,https://itch.io/jam/librty-web3-gamejam-,Librty web3 gamejam,3,Total Pool Prize: $2000 USD split between 10 minimum teams ($200 per team) | Total bounties: $3000 USD
329405,https://itch.io/jam/nyc-its-gonna-be-may,$1600 NYC Game Jam- It's Gonna Be May,108,We're awarding $1600 to the winners: | First prize: $800 | Second prize: $500 | Judge's Choice: $300
330413,https://itch.io/jam/clicli-level-design-challenge,CliCli Level Design Challenge ð¹ï¸,9,Participants awards: 30 * $10 Amazon gift card (exclude top three and most voted work) | Level Design 1st: $50 Amazon gift card | Terrain Design 1st: $50 Amazon gift card | Meme Integration 1st: $50 Amazon gift card | Most voted work on Itch: $50 Amazon gift card (exclude top three)
328858,https://itch.io/jam/continue-game-jam,Continue? Jam,18,One winner who creates the best documentation of their development process using the bot (as voted on in post-jam showcases) will receive a $50 Steam gift card.
329852,https://itch.io/jam/preggo-game-jam,Preggo Game Jam,83,"Welcome the the Preggo Game Jam!This jam was made to celebrate the month of Mayternity as well as help support the creation of more pregnancy themed games in the community.What is a game jam?A game jam is an event where participants try to make a video games from scratch. You have a limited timed window also to make such games. Most games made via a jam often are incomplete, proof of concepts, or demos.Rules of the Preggo Game Jam...You can only start your game project after May 1st (not prior) and you have three weeks work and submit your project. The final day you can submit your project will be on May 22nd at 11:59 p.m.-Pregnancy has to be central to the game in some way. Not everything has to be related to it of course, but it should be featured throughout. This basically means that you can't feature pregnancy in one scene only/just as an ending.  -Showing birth is permitted, though any human (or human-adjacent) children cannot simply be abandoned. It is up to the game's creator how they handle this, an example would be putting in a nursery or similar facility that would take in any children.  -NSFW content is permitted as well, though a warning must be put in to let the players know.  -Any and all games must comply with itch.io's own rules of content  -Creators are not bound to a specific engine or type of game; Anything from Text Adventure to 3D game is permitted  -Fetishes besides pregnancy can be included in games, though they shouldn't shift focus away from pregnancy and need to be disclosed in a warning similar to NSFW contentContest and Rewards...At the end of the month, a few select judges will be going over all the submitted games. The top 3 games that have the best scores will be offered a choice of a $60 cash prize or one free full body art commission from a few select artists in the community. In order to be eligible for rewards, your project must be playable on a windows platform.Criteria that the judges will base their scores will be focused in three different areas.-Pregnancy Content-Story-GameplaySpecial Notes:-If your game is chosen as a winner and you wish to receive a cash reward, you will need to have a paypal account.-If your game is chosen as a winner and you wish to have character art created, I will send you a list of approved artists that you can pick from. Please prepare art references for the character you wish to have made.-If your game is chosen as a winner and I reach out to you but do not get a response within a 1 week period, I will move to the next closest winner to offer them the prize instead.Final Mentions...Remember the goal of this jam is to celebrate the month of mayternity and pregnancy. Lets support a community who wants to celebrate pregnancy in all it's aspects and those who have the talent to make video games with such themes.Also this is my first game jam (with hopefully more to come in the future) so please be patient as I figure specific details out. Thank you for visiting!"
327954,https://itch.io/jam/lv-99-game-jam,Lv. 99 Game Jam 2023,2814,"Welcome to the Lv. 99 Game Jam, organized by Project 99, where you will push your creative limits and take your game development skills to the next level! Our community challenge has doubled the cash prize pool to USD$100,000 for the Top 3 teams, plus a trip to Singapore this June for a live pitch session during the inaugural Olympic Esports Week 2023."
329587,https://itch.io/jam/platformer-challenge-4,Platformer Challenge #4,82,1. The participation prize - for participants who use YAHAHA platform and successfully submit their games to this jam - $100 | 2. The best game of this game jam. This is totally obey the rules and YAHAHA also provide the prize for it - $200 | 3. The best game created with YAHAHA Studio in this jam - This is decided by YAHAHA - $300
329890,https://itch.io/jam/4mb-jam-2023,4MB Jam 2023,103,Prize Pool : $100
329500,https://itch.io/jam/murdercrowgames-global-1-minute-horror-gameboy-game-jam,MurderCrowGames Global 1 Minute Horror Gameboy Game Jam,2,Prize Pool $100 USD split between both 1st & 2nd place winners | 1st Place: $50.00 USD paid via our business PayPal account | 2nd Place: $50.00 USD paid via our business PayPal account | The developers of the top two games that are rated the highest will each receive $50.00 USD via our business PayPal account!
327440,https://itch.io/jam/learn-you-a-game-jam,Learn You a Game Jam: Pixel Edition,51,"As part of your submission, you are also encouraged to submit a dev-log, blog, or vlog sharing what you learned with others! Doing so makes your submission eligible for the Most Educational award ($250) and prize! Additionally, by submitting a dev-log, blog, or vlog, you will be entered into a drawing to win $50 (5 drawing winners!) | Anyone who submits a dev-log, blog, or vlog and does not win the Most Educational prize will be entered into a raffle to win $50. 5 unique winners will be drawn from all eligible submissions. To be eligible, the submitted dev-log, blog, or vlog must have some amount of ""substance"" which expresses what the developer (or developers) learned as well as the resources they learned. I don't want to be super strict about this BUT this requirement is subjective and is in an effort to prevent someone from submitting a 10 second video / a 1 sentence blog and winning the raffle."
